WEEK,LOCATION,SPECIES,MON_EGG_TOT,MON_LARV_TOT,MYZ_ASC,APH_NER,APH_ASC,APH_TOT,FOR_SUB,FOR_PAL,FOR_TOT,LAS_NEO,LAS_TOT,TET_IMM,CRE_CER,ANT_TOT,LB_TOT,PARA,LWING
6,EB,TUBEROSA,1,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0
6,EB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,EB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,EB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HS,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HS,SYRIACA,2,0,6,0,0,6,0,0,0,1,1,0,0,1,0,0,0
6,HS,SYRIACA,0,0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0
6,HS,SYRIACA,2,0,11,0,0,11,0,1,1,0,0,0,0,1,0,0,0
6,HS,SYRIACA,0,0,475,0,0,476,0,0,0,0,0,1,0,1,0,0,0
6,HS,SYRIACA,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0
6,HS,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HS,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,HS,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HS,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HS,TUBEROSA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,INCARNATA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,INCARNATA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6,AW,INCARNATA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,AW,INCARNATA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,SYRIACA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,AW,SYRIACA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,AW,SYRIACA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,SYRIACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,SYRIACA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AW,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AB,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6,AB,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
